Transporter,Address,Numbers,Contact Person
JAI MOVERS PVT. LTD.,"16- tarachand dutta street- 3rd floor- kolkata , kolkata","Contact No : 9433035378, 9330202200, 22355378,",Contact Person :
BARRA BAZAR TRANSPORT CO. PVT. LTD.,"49- kali krishna tagore street- 3rd floor- malapara- kolkata , kolkata","Contact No : , 22598566, 22590673, 22599192, 22590675,",Contact Person : NULL
CCI LOGISTICS LTD,"p-4- black burn lane- 3rd floor- kolkata , kolkata","Contact No : 9830034633, 033, 22373918, 22375489, 22375993,",Contact Person : satish sharma
SKYLAND TRANSPORT LTD.,"123- chhittisgarh avenue- kolkata , kolkata","Contact No : 9339107979, 22354573,",Contact Person : NULL
ARIHANT CARGO CARRIERS P. LTD.,"57- diamond harbour road- block-a- room no.103- 104- ist floor kolkata , kolkata","Contact No : 9831087899, 24492121, 24494141,",Contact Person : abhay jain
AGARWAL CARRYING CORPORATION,"161/1- bangur building- 2nd floor- room no.43a-�mahatma gandhi road-�burrabazar-�kolkata - 700007 , kolkata","Contact No : 9330106528, 9831006528, 9433006528, 9330206528, 033, 22684991, 22684448,",Contact Person :
INDIAN ROADWAYS CORPN. LTD.,"1- sunyat sen street- kolkata , kolkata","Contact No : , 22365110, 22251428,",Contact Person : NULL
NAVRANG ROADLINES P. LTD.,"80/1/b- phears lane- 2nd floor- room no-2- kolkata , kolkata","Contact No : 9830315909, 9331188811, 22259346, 32584096,",Contact Person : rakesh singh
TRANS QUICK (I) P. LTD.,"47a- zakaria street kolkata , kolkata","Contact No : , 22341760, 22352140, 22357046,",Contact Person : NULL
MARINO TRANS LOGISTICS PVT. LTD.,"43- diamond harbour road- kolkata , kolkata","Contact No : 9830950056, 24497438, 24492021,",Contact Person : NULL
INDIAN PACKERS ORGANIZATION,"90 phears lane , kolkata","Contact No : 09088855500, 9038028023, 9088855500",Contact Person : ankit gupta
SHIVA CARGO CARRIERS,"1b-�near krishna cinema-�ramloachan mullick-�chittaranjan avenue-�kolkata - 700073 , kolkata","Contact No : , 033, 66247787,",Contact Person : NULL
PRAGATI LOGISTIC,"34- pwd road near icici bank dunlop branch , kolkata","Contact No : 9804161705, 9088532850, 9432251330, 9088532850,",Contact Person : hemant singh
BANDHOPADHAY JYOTI-INSURANCE BROKER,"249a- bb ganguly street- bowbazar- kolkata- - 700012 , kolkata","Contact No : 9331001172, 033, 22252469,",Contact Person : mr. jyoti bandhopadhay
MAHENDRA ROADLINES PVT. LTD.,"41-a- tarachand dutta street- opp. moon light cinema- kolkata , kolkata","Contact No : 9339818065, 9339732594, 22709958,",Contact Person : raj kumar
COMMERCIAL CARGO MOVERS (P) LTD.,"31- giri babu lane- ist floor kolkata , kolkata","Contact No : 9331263994, 22361783, 22377932, 22377035, 22376879,",Contact Person : NULL
TRUE LOGISTICS PRIVATE LIMITED,"41a tarachand dutta street 3rd floor kolkata-700073 , kolkata","Contact No : 9830286555, 033, 2270, 0005,",Contact Person : rajkumar goel
SOUTH ASSAM ROADWAYS LTD.,"80/1b- phears lane- kolkata , kolkata","Contact No : 9830087776, 9331076620, 22379395, 22379397,",Contact Person : sn gupta
SOUTH NORTH ROADWAYS PVT. LTD.,"116/h/1- mg road- kolkata , kolkata","Contact No : , 22413781, 22197249, 22571285,",Contact Person : NULL
NEW SHAKTI TRANSPORT CO.,"metcalte street�dharmatala- kolkata -700013 , kolkata","Contact No : , 033 , 22366124,",Contact Person : NULL
BANSAL LOGISTICS EARTH MOVERS PVT. LTD.,"himalaya plaza- 2nd floor- room no.212- block-de- opp. fci godown- dankuni- hooghly , kolkata","Contact No : 9007883101, 9330266247, 32966247,",Contact Person : ajay
UMA ROAD CARRIERS P. LTD.,"8- madan mohan burman street- ist floor- kolkata , kolkata","Contact No : 9830146170, 9330193309, 22360131, 22360132,",Contact Person : navin
CAREWELL MOVERS P. LTD.,"city centre- 19- syangogue street room no.238- 2nd floor- kolkata , kolkata","Contact No : 9330996065, 22431216,",Contact Person : chaturvedi
EKTA PACKERS & MOVERS,"c-15- lake view park- boon hooghly- kolkata , kolkata","Contact No : 9330053604, 9062666668, 93300853602, 32637621,",Contact Person : rk sharma
HINDUSTAN GOODS CARRIERS PVT. LTD.,"39- tarachand dutta street- kolkata , kolkata","Contact No : , 22709552, 22715145, 28,",Contact Person : NULL
INLAND ROAD TRANSPORT PVT. LTD.,"p-221/2- strand bank road- kolkata , kolkata","Contact No : , 22432569, 22103044, 22432104, 22354152, 3760,",Contact Person : NULL
ODC CARRIERS PVT. LTD.,"15- india exchange place- kolkata , kolkata","Contact No : , 22307419, 22309081,",Contact Person : NULL
