Transporter,Address,Numbers,Contact Person
P.K. TRANSPORT COMPANY,"shaheed bhagat singh road amritsar , amritsar","Contact No : , 2541169, 2536282,",Contact Person :
DAGAR TRANSPORT CO.,"inside ghee mandi amritsar , amritsar","Contact No : , 2548262,",Contact Person : NULL
NAGPUR FREIGHT CARRIERS,"plot no.65- transport nagar amritsar , amritsar","Contact No : 9356037305, 6539307,",Contact Person : NULL
THE A.D. ROADLINES (REGD.),"near power house ghee mandi amritsar , amritsar","Contact No : 9356511728, 2555162,",Contact Person : NULL
MAND TRADING COMPANY,"bawa market- near grain market- opp dhillon kheti store- railway road- raya- amritsar , amritsar","Contact No : 9888962756, 9780214614, ,",Contact Person : suraj
M S TRADING COMPANY,"shop no-497/8- waddi bhab wasti ram- main wholesale market- dhab- amritsar , amritsar","Contact No : 9915099501, 183, 2525657,",Contact Person : NULL
KUBER LOGISTIC,"majitha road amritsar , amritsar","Contact No : 918010104436, 8010104436,",Contact Person : 8010104436
DEEPAK ROADLINES PVT.LTD.,"pakki gali s.b.s. road amrit , amritsar","Contact No : , 2553517, 2700082,",Contact Person :
THE JALANDHAR EX-SERVICEMAN MOTOR TPT.,"s.b.s. road amritsar , amritsar","Contact No : , 2543271, 2702952,",Contact Person :
BHILWARE LUDHIANA ROADLINES,"p.no.565- b/h malwari ship puri opp. jaishgarh , amritsar","Contact No : 9417306848, 5059467,",Contact Person : NULL
JWALAJEE PATHANKOT TRANSPORT CO. (REGD.),"i/s ghee mandi opp. shivala veer bhan amritsar , amritsar","Contact No : 9814096718, ,",Contact Person : NULL
THE HILL ROADLINES (REGD.),"pakki gali s.b.s. road amrit , amritsar","Contact No : , 2551624, 2551350,",Contact Person :
FAITH PAKERS AND MOVERS,"office . opp. cp5 khasa cantt. amritsar , amritsar","Contact No : 07696960684, 08264840684, , 7696960684",Contact Person : harpreet singh
SINGHLA ROADWAYS,"amritsar , amritsar","Contact No : 7696080009, ,",Contact Person : NULL
KOHALI TRANSPORT SERVICE,"bazar bakarwana amritsar , amritsar","Contact No : , 2548126, 3091026,",Contact Person :
NEW UNITED FREIGHT CARRIER,"2577/11/37- ghee madi chowk amritsar , amritsar","Contact No : 9356009931, ,",Contact Person : NULL
NAV BHARAT GOODS CARRIERS (REGD.),"19-a- akali phoola singh market amritsar , amritsar","Contact No : , 2581467, 2701596, 2293406, 2541921,",Contact Person :
NEW RASHTRYA CARGO GOODS CARRIERS,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9356013700, ,",Contact Person : NULL
J.B.R. CARRIERS,"bazar bakarwana s.b.s. road amritsar , amritsar","Contact No : 9356022215, ,",Contact Person : NULL
KARTAR GOODS CARRIERS,"s.b.s. road amritsar , amritsar","Contact No : , 2555338, 2552442, 2559262,",Contact Person :
VARUN LOGISTICS LTD.,"p.no.2577/1- inside ghee mandi amritsar , amritsar","Contact No : 9356407717, 2293518,",Contact Person : NULL
HARI TRANSPORT CO.LTD.,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9356013700, ,",Contact Person : NULL
TIRLOK FREIGHT CARRIERS,"ghee mandi amritsar , amritsar","Contact No : 9814177038, 2549733,",Contact Person : NULL
ARUN ROADWAYS,"i/s ghee mandi bazar amritsar , amritsar","Contact No : 9872207011, 2552859,",Contact Person : NULL
SHALIMAR TRANSPORT SERVICE,"bazar pettion inside ghee mandi amritsar , amritsar","Contact No : , 2293908, 2271829,",Contact Person :
GREAT EASTERN ROAD CARRIERS,"65- transport jahajgarh opp. pataka market , amritsar","Contact No : 9501387081, 6539307,",Contact Person : NULL
SRI MOHAN ROADWAYS,"transport nagar amritsar , amritsar","Contact No : 9216557333, 2583487,",Contact Person : NULL
MONTGOMERY GOODS CARRIERS,"transport nagar amritsar , amritsar","Contact No : , 2544259, 2552923,",Contact Person :
DHAN DHAN BABA BHAG DASS JI TRANSPORT CO.,"shop no.30- opp. mall mandi t.p. nagar , amritsar","Contact No : 9815021252, ,",Contact Person : NULL
PERFECT ROADLINES,"inside ghee mandi amritsar , amritsar","Contact No : , 2293503,",Contact Person : NULL
NORTH WEST ROADLINES PVT.LTD.,"batala road amritsar , amritsar","Contact No : 9501569986, ,",Contact Person : NULL
NEW RAJ TRANSPORT CORPORATION,"122- t.p.nagar amritsar , amritsar","Contact No : 9417394626, 5067626,",Contact Person : NULL
SIMRAN ROADLINES OF INDIA,"1/s- ghee mandi asr , amritsar","Contact No : 9888710014, 3291461,",Contact Person : NULL
NORTH EASTERN CARRYING CORPORATION LTD.,"necc house 36- transport nagar jahajgarh amritsar , amritsar","Contact No : 9417549295, 275936,",Contact Person : NULL
GLOBE TRANSPORT (PUNJAB),"ghee mandi amritsar , amritsar","Contact No : 9356655787, ,",Contact Person : NULL
KULLU SHIMLA GOODS TRANSPORT CO. (REGD.),"bazar bakarwala- inside sheranwala gate , amritsar","Contact No : , 2551685, 2551684, 5067926,",Contact Person :
EVERGREEN ROADWAYS CORPORTION,"bazar- bakarwana amritsar , amritsar","Contact No : 9356110686, 2705300,",Contact Person : NULL
THE DASHMESH FREIGHT CARRIERS,"akali phoola singh market asr , amritsar","Contact No : 9356001164, ,",Contact Person : NULL
CHMBA SIMLA ROADWAYS PVT.LTD.,"bazar bakarwana amritsar , amritsar","Contact No : , 2558820,",Contact Person : NULL
MAA ANNAPURNA TPT- AGENCY PVT.LTD.,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9356024115, ,",Contact Person : NULL
SRI SHYAM ROADLINES,"p.no.28- jahajgarh road asr , amritsar","Contact No : 9216280020, ,",Contact Person : NULL
MAHAJAN CARRIERS,"plot no.27- jai inder singh t.p. nagar amritsar , amritsar","Contact No : , 2580518, 3257122,",Contact Person :
EASTERN ROAD CARRIERS LTD.,"plot no.31- transport nagar amritsar , amritsar","Contact No : 9356780918, 2702318,",Contact Person : NULL
KUMAR GOODS TRANSPORT COMPANY,"shheed bhagat singh road amritsar , amritsar","Contact No : 9014466524, 2553026,",Contact Person : NULL
MAHARASHTRA FREIGHT CARRIERS PVT.LTD.,"29- transport nagar jahajgarh amritsar , amritsar","Contact No : , 2585517, 2700082,",Contact Person :
COMMERCIAL FREIGHT CARRIERS (INDIA) REGD.,"65- transport nagar amritsar , amritsar","Contact No : , 6539307,",Contact Person : NULL
SURJEET GOODS CARRIERS PVT.LTD.,"shaheed bhagat singh road amritsar , amritsar","Contact No : 9872011932, ,",Contact Person : NULL
M.P. ROADLINES,"15- truck stand g.t. road asr , amritsar","Contact No : 9463248370, ,",Contact Person : NULL
MAHALAKSHMI TRANSPORT EAST & WEST,"inside mohan singh gate bazar bakarwana , amritsar","Contact No : , 2551684, 2551685,",Contact Person :
