Transporter,Address,Numbers,Contact Person
JAGRUTHI ROADWAYS,"chinchawad road gandi nagar , kolhapur","Contact No : 9840769509, 44, 25243351, 52, 25243353, 25245133, 4, 25210688,",Contact Person : NULL
VYSYA LIFE INSURANCE CO. PVT. LTD.,"1st floor� the lions den centre�karveer- kolhapur -416003 , kolhapur","Contact No : , 0231 , 4396000, 0231 , 4396001, 0231 , 4396002,",Contact Person : NULL
SK ROADWAYS,"shiroli kolhapur , kolhapur","Contact No : 9371126899, 02302469679,",Contact Person : santosh gupta
TRANSWAYS CORPORATION,"opp. kolhapur steel ltd. p.b. road plot no.b-169- lst phata , kolhapur","Contact No : 9850810863, 2468425,",Contact Person : NULL
BIJAPUR ROADLINES,"a.k. complex 2nd lane shapuri kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
JALARAM TRANSPORT CO.,"plot no.127- opp. kolhapur steel nagaon , kolhapur","Contact No : 9373992316, ,",Contact Person : NULL
ASHTEKAR TRANSPORT COMPANY,"1304 c- laxmipuri kolhapur , kolhapur","Contact No : , 2640315, 2640715,",Contact Person :
TRANSPORT CORPORATION OF INDIA,"hmt road midc. siroli kolhapur , kolhapur","Contact No : 9326136283, 2468439,",Contact Person : NULL
K.P. TRANSPORT PVT.LTD.,"s.no.136 sangali road pulachi siroli kolhapur , kolhapur","Contact No : 9970063791, ,",Contact Person : NULL
KAUSHIK TRANSPORT CORPORATION,"plot no.149- gandhi nagar kolhapur , kolhapur","Contact No : 9420459899, 9371526344, ,",Contact Person :
M.P. MAHARASHTRA CARRIERS (INDIA),"426- chinchwad road gandhinagar , kolhapur","Contact No : , 3296458,",Contact Person : NULL
AVINASH CARRIER PVT. LTD.,"a/p nagaon�hatkanangale- kolhapur -416109 , kolhapur","Contact No : , 0231 , 2460279,",Contact Person : babanrao shelke
SEA TRANS PACKERS & MOVERS,"plot no. 2109-�nagaon phata- shiroli , kolhapur","Contact No : 9890963927, 0230, 2460118,",Contact Person : vikas kumar
AARESS WHEELS,"no. 1243/85� shivaji udhyamnagar�shivaji udyam nagar- kolhapur -416008 , kolhapur","Contact No : 9970308585, 0231 , 9999999,",Contact Person : rajiv m. bhingarde
DELHI-KARNATAKA FREIGHT CARRIER PVT.LTD.,"atul shahu godown gandhi nagar kolhapur , kolhapur","Contact No : 9970450559, 8928521043, ,",Contact Person :
OMKAR ROAD CARRIERS'S KOLHAPUR,"p.b. road shiroli plot no.123/a- near mahadik petrol pump kolhapur , kolhapur","Contact No : 9373961268, 3206416,",Contact Person : NULL
OKAY TRANSPORT CORPORATION,"plot no.1315- p.b. road siroli kolhapur , kolhapur","Contact No : 9326697449, ,",Contact Person : NULL
THE HIND RATTAN ROAD CARRIERS (SOUTH),"gala no.426. chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , 2612831,",Contact Person : NULL
KOKAN TRANSPORT COMPANY,"610- k- e- vardhman chembar gala no.3- shahupuri 2nd lane kolhapur , kolhapur","Contact No : , 2654193,",Contact Person : NULL
PIONEER TRANSPORT SERVICE,"shahupuri 2nd lane opp >bank of india kolhapur , kolhapur","Contact No : 9422413939, 2653709,",Contact Person : NULL
ANUPAM LOGISTICS,"shiroli nagaon phata nagaon road kolhapur , kolhapur","Contact No : 9765868080, ,",Contact Person : NULL
VAKRATUND ROADWAYS,"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9325810174, ,",Contact Person : NULL
CHOLAMANDALAM MS GENERAL INSURANCE CO. LTD.,"mouni vihar apartment� - takalatakala chowk- rajarampuri�karveer- kolhapur -416008 , kolhapur","Contact No : , 0231 , 2534354, 0231 , 3202224,",Contact Person : dipak swami
SOUTHERN CARGO CARRIERS (INDIA),"malhari niwas jakat naka kolhapur , kolhapur","Contact No : 9561621230, ,",Contact Person : NULL
M/S FERNADES TRANSPORT (REGD.),"663- e- 2nd lane shahupur near radha krishna mandir , kolhapur","Contact No : , 3059014,",Contact Person : NULL
SANDESH ROADLINES,"942- e shahupuri 5th gali kolhapur , kolhapur","Contact No : 9421924195, 2652816,",Contact Person : NULL
YOJANA ROAD CARRIERS,"plot no.29- navin vasahat opp. z.p. hospital shiroli kolhapur , kolhapur","Contact No : 9890850619, ,",Contact Person : NULL
JAIRAJ TRANSPORT CO.,"633- e- shahupuri 2nd lane near waman guest house kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
RATNAGIRI ROADWAYS,"near hirani market gandhi nagar kolhapur , kolhapur","Contact No : 9325363367, ,",Contact Person : NULL
